dataset x y
a 28.0033242354 46.6721919544
a 75.4012268619 88.6390766207
a 38.9800154218 87.322160691
a 65.2199135479 84.6829549336
a 73.0539899616 29.3808085571
a 34.3983616372 59.5444469033
a 43.4904501336 40.782542065
a 55.138737967 30.7257603575
a 43.6843934333 32.8230098696
a 35.9036097344 91.1118630801
a 45.3780188805 29.1692166544
a 39.7774828713 43.75581895
a 38.6644611569 33.3172384774
a 39.0440366877 84.6760108316
a 91.6399614428 79.4066030605
a 47.4881326771 85.3899333808
a 44.5902125769 22.0340116412
a 39.0896145478 70.4661940802
a 42.2293783752 19.9140684075
a 37.0003871448 60.264279248
a 39.0520864793 70.6525028457
a 37.4884147432 60.8144048511
a 69.3595594592 65.5213545959
a 43.542775926 62.4603112824
a 39.8112302539 65.3348328092
a 70.0689259404 7.59346560899
a 70.0405435824 77.1438066024
a 39.505789079 74.8516272173
a 62.5168908529 66.4847322418
a 72.1399254065 0.0151193251552
a 45.2515760666 70.0034213192
a 42.0633045627 2.33519661206
a 36.3556951539 6.0058486497
a 30.3918276596 42.75961287
a 36.4490038543 50.5462690659
a 40.467576002 60.0275120878
a 81.7246168002 6.03754484635
a 48.8231974964 76.6353305783
a 35.6205617651 57.2860155789
a 50.5839631148 71.8066161014
a 61.8564651063 71.7927431642
a 39.3237560262 59.3008196656
a 42.1856791429 66.0348978235
a 30.8469189898 37.3416401041
a 29.3462004281 42.1487418312
a 82.1105579783 1.21055166293
a 38.3020058088 60.0177857932
a 56.5841530218 70.512514809
a 33.3393742865 0.5091067352
a 78.7742390407 35.4841012146
a 27.9226442446 25.9868781844
a 71.6978651182 10.8681445111
a 74.1383313856 49.1739189791
a 32.579020066 1.80811559665
a 59.83218542 69.1525081443
a 35.0306285457 12.5366493416
a 74.3001198284 42.4770945921
a 63.2501970628 65.9524861966
a 34.1730737648 25.6936743092
a 40.9138319319 38.5590195509
a 62.8332930874 62.5108942269
a 42.4767923803 56.7312899691
a 52.0334562787 64.5666620298
a 48.9070429644 74.2877488252
a 59.8518383854 72.9583909677
a 48.9604602016 72.6295257275
a 46.8448551673 36.7917136918
a 39.9630215796 42.9449148487
a 66.704943997 32.0150954299
h 53.366566866 90.2080300059
h 52.8019793617 90.0880645063
h 47.0541298828 90.458936026
h 42.4484337816 89.5077001153
h 42.7040363241 90.4426288607
h 32.3789386326 90.144142631
h 32.5307027362 70.1573965085
h 33.3652644305 70.4593354392
h 32.6560991775 70.0510704992
h 22.9550932697 70.4268951523
h 27.1498436318 70.2108058428
h 26.1669092779 70.5003151212
h 26.3314570795 50.494556525
h 22.0037091415 50.4994401238
h 23.2847479782 50.4743528321
h 27.6340383923 50.5036668574
h 32.0371080007 50.5000661229
h 29.3365106528 50.461893969
h 40.816953133 50.4877601957
h 42.7390751173 50.483155992
h 51.8678937691 50.4932732621
h 43.3710018924 50.5008373234
h 53.0427983006 50.4875038691
h 56.6189102967 50.5033740178
h 70.568289819 50.4962361243
h 67.870887292 70.0680261345
h 58.8215465891 70.4557817483
h 60.1869278445 70.4835512458
h 59.4355174849 50.4206326073
h 49.5858434795 50.4349813825
h 41.7797417848 50.4706422808
h 46.1276863394 30.4494107792
h 38.0337837705 50.4908995189
h 44.5468412844 50.4159133758
h 46.2381175975 30.4956129408
h 49.7397453317 30.4727248868
h 39.1102518936 30.4786951789
h 39.1428377913 30.7928559394
h 34.6254702671 30.4997410297
h 34.7542074707 30.4958650002
h 36.7537002386 50.5293043035
h 37.0193512929 50.4926666972
h 41.4171152753 50.4697734181
h 22.8171074784 30.4360403387
h 34.800701463 30.4979313851
h 27.8918897953 30.4849702595
h 32.8706391587 30.5023417488
h 37.7940494081 30.4926383364
h 35.6673163042 30.522035054
h 48.4422995026 30.5017227753
h 58.6693732631 30.5068378948
h 47.9169554375 30.4867257545
h 51.8941663939 30.494755684
h 51.7490891643 30.4729933399
h 58.2465530013 50.4428744949
h 57.3106968674 50.4825132895
h 67.9680481127 50.4521589097
h 65.9493192681 50.494240794
h 55.7470928102 50.4789748003
h 68.4030100436 50.4986272318
h 76.696465628 50.4938305609
h 67.2148371159 70.2600284356
h 72.3020057291 70.2204373812
h 66.7632573944 70.4738617113
h 51.6803004439 89.9970275485
h 53.0965573571 89.540243712
h 42.2422929389 89.7085785936
h 56.2338756577 89.635308157
h 54.6809865825 89.9645994589
h 57.9026866088 89.6184017294
h 51.8202625467 89.8341303987
h 56.8283953362 89.5836647251
h 58.2722785867 69.9002729578
h 51.8281274487 70.3526492053
h 44.8499842618 70.3952029719
h 24.2703823928 50.4855676918
h 34.7424714403 70.3399348879
h 37.7993149267 70.4695358763
h 49.7869410649 89.6580469945
h 59.751497414 89.7319325216
h 64.7747992444 90.132316736
h 70.8444476004 89.9242090159
h 70.6059455116 90.042061963
h 78.6424883907 89.5512032307
h 70.810692254 89.5926540118
h 66.7699466213 70.4233752108
h 73.3363681612 70.3169271705
h 73.1051481627 70.300511881
h 74.6782541432 70.4453141903
h 80.240250951 70.3543089613
h 70.9468490729 50.4727017878
h 88.6626638086 50.4553260208
h 84.405952832 50.4948658866
h 75.9871047068 50.4919669557
h 91.1120854191 50.489389393
h 98.2881232748 30.603919371899998
h 95.0652748396 30.5004028652
h 95.2492339568 30.4594542144
h 49.6561262881 50.4313198677
h 63.0186009279 30.4925819262
h 70.5382006004 30.4835582526
h 70.0868697658 30.5100448173
h 62.6856904424 30.5464245575
h 69.239417959 30.5060052447
h 80.4002336791 30.4850063746
h 74.6478782284 30.6738628584
h 65.9952727194 30.4750241915
h 67.0885590036 30.4945239508
h 59.8525770283 10.5431877763
h 53.7489900744 10.5225745323
h 58.2390955164 10.4948990284
h 54.810300495 10.7249292845
h 52.9767123211 10.859490276
h 52.2038939272 10.4956369212
h 50.7451622429 10.5249055723
h 42.7131936166 10.4875472428
h 45.3172255098 10.4958733944
h 53.116915041 10.5068605973
h 57.049801823 10.5081369414
h 54.8546309465 10.4639151924
h 54.9248425638 10.498331942
h 63.3095540306 10.4888142392
h 49.7494984129 10.4858029097
h 41.1693104232 10.4973002433
h 46.6883404976 10.5075321353
h 52.4189219215 10.4959063596
h 50.8784883796 10.5030898746
h 57.0533061394 10.5140692392
h 70.7864511597 10.5136950409
h 56.7721495656 10.5032723508
h 75.4772220231 10.5185680355
h 76.7659121498 10.496999064
h 77.621049129 10.4958742318
h 65.4144870523 10.6818401251
h 69.9647805002 10.5072329326
h 64.9697382623 10.4821595117
h 38.0502407785 30.4079460343
h 42.2241202189 30.4980371582
h 87.6984642949 50.4899365296
h 52.3603310701 89.7043170068
h 51.4067867898 89.7121385499
h 43.588468468 89.7455365536
v 50.4815081703 93.2227013657
v 50.2824056687 97.6099835723
v 50.1867033389 99.6946801425
v 50.3269108629 90.0220534916
v 50.4562073315 89.9874101286
v 30.4648469308 82.0892320845
v 30.5015964737 82.3071263462
v 30.489569227 77.7298801366
v 30.45024833 79.8348944011
v 30.5183947985 68.2525829388
v 30.5116612138 66.0937181831
v 30.4980777147 62.3849850338
v 30.6202277519 60.8600821544
v 30.4921854231 55.8789168923
v 30.474634333 52.3221596388
v 30.500998079 48.0696996767
v 30.4944213623 45.7734755346
v 30.4995445502 49.3820997506
v 50.144392979 47.0142836417
v 49.9128985877 55.5878389121
v 50.3374274859 57.9553142818
v 50.4189791992 60.5249117346
v 50.2052589714 57.9242171676
v 50.4353151633 56.4393224734
v 69.5057889042 59.2849248279
v 69.5340709833 64.8929773346
v 69.5101069302 61.3296244282
v 69.5263228876 56.9952791254
v 49.9472399619 48.2295767261
v 50.0631041291 58.085037556
v 50.489902373 39.2054119682
v 49.6888638379 42.018514414
v 50.3334811097 43.588671479
v 50.4467514196 57.2305889423
v 50.4209091963 43.3479568967
v 50.3740520508 32.9182406167
v 30.4768299051 39.4246055913
v 30.5034743497 38.3485561381
v 30.5048349283 28.7714879939
v 30.4622184647 32.7504720275
v 30.491302622 43.5613740753
v 30.449653838 44.9951230008
v 30.4859942157 47.3479464653
v 30.5020767935 36.4412129198
v 30.4780588886 28.020580489
v 30.5011608787 38.3141385582
v 30.5047730174 26.4166256707
v 30.509115326 22.8255471196
v 50.1156321728 16.6940065479
v 50.4483013392 21.6402564599
v 50.17317743 29.177864393
v 49.9227419194 38.4404729124
v 50.3112993746 26.8604882737
v 50.3994096114 38.9638389234
v 50.3373626448 40.913386144
v 50.2023180965 47.2129480045
v 50.2749326091 49.6234993439
v 69.4943803061 52.6124107059
v 69.5193397556 47.384533707
v 69.5291826079 57.8412666804
v 69.495755496 58.785073162
v 69.199057706 60.4189573202
v 69.5510914402 58.4010982686
v 69.5066843151 68.0844667893
v 50.4441175504 75.0132995059
v 50.4672293846 90.281464505
v 50.210881979 80.9417717084
v 50.205406955 90.6405359009
v 50.4382906648 92.3547602661
v 50.3735188462 82.2192057218
v 50.253683689 81.7438287242
v 50.2504708592 71.9513852104
v 50.0870583609 73.9518736268
v 50.2310718829 80.6473870602
v 50.2077411201 73.1145035177
v 30.4995061735 53.6125276703
v 30.5203612407 65.1004090686
v 30.4549558873 63.5017787814
v 50.4164772292 97.2696919618
v 69.5250693831 93.5980502089
v 69.5202566002 97.1938760167
v 69.4989700668 92.1204899292
v 69.5286156637 91.6220882409
v 69.4997669273 84.47968329
v 69.5038013697 81.8154056166
v 69.4875893963 81.8359875567
v 69.5191157281 71.1159672213
v 69.5043762947 70.4934438205
v 69.5125730109 61.497563947
v 89.4942005622 62.2343269676
v 89.5001240511 53.2163306165
v 89.490246254 48.890796551
v 89.49778562 46.6299066746
v 89.5048511306 48.4234081578
v 89.5010526463 43.3473436951
v 89.4888412549 40.6250912209
v 89.5016235276 45.8151791904
v 89.497529662 33.901372671
v 50.4390920216 37.670771798
v 50.179850128 36.8075593352
v 69.5050706711 33.7401525035
v 69.5798670452 21.9352367455
v 69.5064719492 22.7286628748
v 69.4994788728 16.3374699821
v 69.500264751 27.1360239942
v 69.5041565157 23.6689181006
v 69.5322795847 21.8509008151
v 69.5001114942 11.7916260054
v 69.5048154243 15.6143582625
v 69.5034745234 17.1690897689
v 50.3774019862 16.5060150613
v 50.3394254813 18.7234506861
v 50.0936501016 11.6077134241
v 49.9341271714 22.2561397401
v 50.2888186122 13.436410466
v 50.2879944267 12.8722822086
v 50.2347207 20.4044729196
v 50.2797016367 15.608737571
v 50.2530067222 11.3020842468
v 50.4741411162 12.4619966676
v 50.1084399725 18.2590443442
v 49.919058249 3.7168538855
v 50.0836645085 10.2358819024
v 50.3522608355 12.4686005273
v 50.4975722411 7.40962523419
v 50.0163058346 16.2536847911
v 50.4682212165 13.3567024555
v 69.5506789842 9.03298756904
v 69.5186727475 15.1804864298
v 69.5034574098 16.8783132661
v 69.4994868291 10.2078266798
v 69.5275296829 9.99229666551
v 69.5190952617 11.4226857018
v 69.5618994268 15.9998037858
v 69.5010445197 5.95583353945
v 69.524635976 2.73476016988
v 30.4995937106 26.0855615691
v 30.487391709 19.7794703733
v 89.5001804719 31.9789174357
v 50.4102716314 98.6283694405
v 50.3259243927 94.9946308528
v 50.1040315041 95.0885380179
